Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),TeamCode,OriginalTable
RB,Chuba Hubbard,24.0,2,12.0,"238 rushes for 902 yards, 5 td, & 39 catches for 233 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,DJ Chark,27.0,5,11.0,"35 catches for 525 yards, 5 td",,2023_ROSTER.HTM,Table_1
WR,Jonathan Mingo,22.0,Rook,14.0,"43 catches for 418 yards, 0 td",,2023_ROSTER.HTM,Table_1
WR,Adam Thielen,33.0,9,17.0,"103 catches for 1,014 yards, 4 td, & 1 rush for 6 yards and 0 td",,2023_ROSTER.HTM,Table_1
TE,Hayden Hurst,30.0,5,8.0,"18 catches for 184 yards, 1 td",,2023_ROSTER.HTM,Table_1
LT,Ikem Ekwonu,23.0,1,17.0,,,2023_ROSTER.HTM,Table_1
LG,Chandler Zavala,24.0,Rook,7.0,,,2023_ROSTER.HTM,Table_1
C,Bradley Bozeman,29.0,5,17.0,,,2023_ROSTER.HTM,Table_1
RT,Taylor Moton,29.0,6,17.0,,,2023_ROSTER.HTM,Table_1
,Defensive Starters,,,,,,2023_ROSTER.HTM,Table_1
LDE,Derrick Brown*,25.0,3,17.0,"2.0 sacks, 1 interception, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
DE,Yetur Gross-Matos,25.0,3,6.0,,,2023_ROSTER.HTM,Table_1
NT,Shy Tuttle,28.0,4,17.0,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RDE,DeShawn Williams,31.0,7,10.0,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
LOLB,Brian Burns,25.0,4,16.0,"8.0 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
LILB,Frankie Luvu,27.0,5,17.0,"5.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
ROLB,Justin Houston,34.0,12,7.0,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
LCB,C.J. Henderson,25.0,3,7.0,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RCB,Donte Jackson,28.0,5,16.0,,,2023_ROSTER.HTM,Table_1
SS,Xavier Woods,28.0,6,14.0,"0.0 sacks, 2 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
FS,Vonn Bell,29.0,7,13.0,"0.0 sacks, 1 interception, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
,Offensive Starters,,,,,,2023_ROSTER.HTM,Table_1
QB,Mac Jones,25.0,2.0,11.0,"224 for 345, 2,120 yards, 10 td, 12 int, & 26 rushes for 96 yards and 0 td",,2023_ROSTER.HTM,Table_1
