Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Date,Unnamed: 2_level_0_G#,Unnamed: 3_level_0_Week,Unnamed: 4_level_0_Age,Unnamed: 5_level_0_Tm,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Opp,Unnamed: 8_level_0_Result,Unnamed: 9_level_0_GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,PlayerCode,OriginalTable,Scoring_TD,Scoring_Pts,Scoring_2PM,Unnamed: 39_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 37_level_0_Status,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Unnamed: 47_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 46_level_0_Status,Unnamed: 40_level_0_Status
12.0,2023-12-03,12.0,13.0,24.094,ATL,@,NYJ,W 13-8,*,12,27,44.44,121,1,0,70.1,3,17,4.48,5.22,3,0,0.00,0,1,0,0,1,-2,0,68,100%,0,0%,0,0%,RIDDDE00,Table_1,0,0,,,,,0,0,0,,0,0.0%,,,,,,
13.0,2023-12-10,13.0,14.0,24.101,ATL,,TAM,L 25-29,*,26,40,65.00,347,1,1,90.3,3,9,8.68,8.05,4,15,3.75,1,2,0,0,1,0,0,72,100%,0,0%,0,0%,RIDDDE00,Table_1,1,6,,,,,0,0,0,,0,0.0%,,,,,,
14.0,2023-12-17,14.0,15.0,24.108,ATL,@,CAR,L 7-9,*,12,20,60.00,152,1,1,79.6,0,0,7.60,6.35,5,-2,-0.40,0,1,0,0,0,0,0,52,100%,0,0%,0,0%,RIDDDE00,Table_1,0,0,,,,,0,0,0,,0,0.0%,,,,,,
15.0,2023-12-24,15.0,16.0,,ATL,,IND,W 29-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,RIDDDE00,Table_1,Did Not Play,Did Not Play,,,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,Did Not Play,
16.0,2023-12-31,16.0,17.0,24.122,ATL,@,CHI,L 17-37,,3,4,75.00,17,0,1,42.7,0,0,4.25,-7.00,0,0,,0,0,0,0,1,0,0,8,14%,0,0%,0,0%,RIDDDE00,Table_1,0,0,,,,,0,0,0,,0,0.0%,,,,,,
17.0,2024-01-07,17.0,18.0,24.129,ATL,@,NOR,L 17-48,*,22,30,73.33,291,2,1,111.9,0,0,9.70,9.53,2,0,0.00,0,1,1,0,0,-12,0,51,84%,0,0%,0,0%,RIDDDE00,Table_1,0,0,,,,,0,0,0,,0,0.0%,,,,,,
,15 Games,,,,,,,6-9-0,,249,388,64.18,2836,12,12,83.4,31,197,7.31,6.54,53,193,3.64,5,12,7,0,4,-16,0,,,,,,,RIDDDE00,Table_1,5,30,,,,,1,1,-6,-6.00,0,100.0%,-6.00,,,,,
1.0,2023-09-10,1.0,1.0,24.189,CHI,,GNB,L 20-38,*,24,37,64.86,216,1,1,78.2,4,27,5.84,5.16,9,59,6.56,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,FIELJU00,Table_1,0,0,,,,,,,,,,,,,,,,
2.0,2023-09-17,2.0,2.0,24.196,CHI,@,TAM,L 17-27,*,16,29,55.17,211,1,2,61.1,6,42,7.28,4.86,4,3,0.75,1,2,0,0,1,-8,0,53,100%,0,0%,0,0%,FIELJU00,Table_1,1,6,,,,,,,,,,,,,,,,
3.0,2023-09-24,3.0,3.0,24.203,CHI,@,KAN,L 10-41,*,11,22,50.00,99,1,1,58.7,3,12,4.50,3.36,11,47,4.27,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,FIELJU00,Table_1,0,0,,,,,,,,,,,,,,,,
