Unnamed: 0_level_0_Week,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Date,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_OT,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Opp,Score_Tm,Score_Opp,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_NY/A,Passing_Cmp%,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_FGM,Scoring_FGA,Scoring_XPM,Scoring_XPA,Punting_Pnt,Punting_Yds,Downs_3DConv,Downs_3DAtt,Downs_4DConv,Downs_4DAtt,Unnamed: 35_level_0_ToP,OriginalTable
1,Sun,September 10,boxscore,L,,@,Baltimore Ravens,9,25,17,22,155,0,1,4,14,7.7,6.0,77.3,76.9,32,110,3.4,3,1,1,2,2,5,249,8,15,0,0,30:55,Table_3
2,Sun,September 17,boxscore,L,,,Indianapolis Colts,20,31,25,33,227,1,0,0,0,6.9,6.9,75.8,104.0,23,126,5.5,3,1,1,4,4,5,220,6,12,0,0,25:02,Table_3
3,Sun,September 24,boxscore,W,,@,Jacksonville Jaguars,37,17,29,42,288,1,1,0,0,6.9,6.9,69.0,86.2,27,116,4.3,1,1,3,2,2,2,94,5,13,0,1,32:03,Table_3
4,Sun,October 1,boxscore,W,,,Pittsburgh Steelers,30,6,18,28,111,0,1,3,21,4.7,3.6,64.3,57.3,25,114,4.6,0,2,2,0,0,5,238,6,14,0,1,27:25,Table_3
5,Sun,October 8,boxscore,L,,@,Atlanta Falcons,19,21,29,38,351,1,0,0,0,9.2,9.2,76.3,112.9,36,96,2.7,1,2,2,1,1,5,200,7,14,0,0,35:32,Table_3
6,Sun,October 15,boxscore,W,,,New Orleans Saints,20,13,33,51,341,1,1,2,16,7.0,6.4,64.7,82.2,25,89,3.6,0,2,4,1,1,3,126,6,15,0,2,31:33,Table_3
8,Sun,October 29,boxscore,L,,@,Carolina Panthers,13,15,22,31,180,1,0,6,55,7.6,4.9,71.0,96.2,24,44,1.8,0,3,3,0,1,4,203,5,14,1,2,30:29,Table_3
9,Sun,November 5,boxscore,W,,,Tampa Bay Buccaneers,39,37,21,30,251,2,0,2,14,8.8,7.8,70.0,117.5,31,81,2.6,2,3,3,4,4,4,202,3,13,2,2,31:20,Table_3
10,Sun,November 12,boxscore,W,,@,Cincinnati Bengals,30,27,27,40,314,2,2,4,33,8.7,7.1,67.5,86.9,16,66,4.1,1,2,2,3,3,5,259,6,14,1,1,28:30,Table_3
11,Sun,November 19,boxscore,W,,,Arizona Cardinals,21,16,20,30,196,1,1,3,18,7.1,5.9,66.7,82.1,25,123,4.9,1,1,1,1,1,2,107,3,10,1,4,28:45,Table_3
12,Sun,November 26,boxscore,L,,,Jacksonville Jaguars,21,24,23,38,364,1,1,0,0,9.6,9.6,60.5,90.2,30,81,2.7,1,3,4,1,1,2,77,7,13,0,0,33:54,Table_3
13,Sun,December 3,boxscore,W,,,Denver Broncos,22,17,15,26,164,1,3,3,22,7.2,5.7,57.7,49.7,30,118,3.9,1,1,1,2,2,6,266,0,11,3,3,26:56,Table_3
14,Sun,December 10,boxscore,L,,@,New York Jets,6,30,27,36,268,2,0,4,33,8.4,6.7,75.0,114.1,26,79,3.0,1,3,3,3,3,5,238,6,15,1,1,37:05,Table_3
15,Sun,December 17,boxscore,W,OT,@,Tennessee Titans,19,16,17,26,138,0,1,7,61,7.7,4.2,65.4,62.7,30,66,2.2,1,1,1,1,2,8,362,5,15,1,1,33:28,Table_3
16,Sun,December 24,boxscore,L,,,Cleveland Browns,22,36,28,44,364,3,2,1,10,8.5,8.1,63.6,93.4,30,54,1.8,2,0,0,2,2,3,148,6,16,4,6,33:34,Table_3
17,Sun,December 31,boxscore,W,,,Tennessee Titans,26,3,18,26,134,0,0,6,50,7.1,4.2,69.2,81.2,21,53,2.5,0,1,1,0,0,5,248,1,12,2,4,26:49,Table_3
18,Sat,January 6,boxscore,W,,@,Indianapolis Colts,23,19,13,24,133,0,0,1,8,5.9,5.3,54.2,70.3,37,227,6.1,1,3,4,0,0,4,216,1,11,0,1,30:42,Table_3
